FTL Kimia Sorbitol,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Kode,Ulangan,CMC (g),PVA (g),Total Polimer (Wi),Berat wadah (W0),Berat Wadah + Endapan (W1),Berat Endapan (Wr),Fraksi Tak Larut (%),Rata-rata FTL,STDEV,Kelarutan (%),Rata-rata Kelarutan,STDEV,Membentuk Lembaran Biofilm,
G,G1,2,2,4,1.893,2.111,0.2180000000000002,5.450000000000005,5.466666666666666,0.028867513459476572,94.55,94.53333333333335,0.02886751345947965,ü,
,G2,2,2,4,1.79,2.01,0.21999999999999975,5.499999999999994,,,94.5,,,ü,
,G3,2,2,4,1.436,1.654,0.21799999999999997,5.449999999999999,,,94.55,,,ü,
H,H1,2,3,5,1.865,1.982,0.11699999999999999,2.34,2.3333333333333326,0.050332229568472886,97.66,97.66666666666667,0.05033222956846918,ü,
,H2,2,3,5,1.834,1.948,0.11399999999999988,2.2799999999999976,,,97.72,,,ü,
,H3,2,3,5,1.351,1.47,0.119,2.38,,,97.62,,,ü,
I,I1,3,0,3,1.77,2.167,0.3969999999999998,13.233333333333327,13.188888888888888,0.07698003589194725,86.76666666666668,86.81111111111113,0.07698003589194984,,ü
,I2,3,0,3,1.321,1.718,0.397,13.233333333333333,,,86.76666666666667,,,,ü
,I3,3,0,3,1.389,1.782,0.393,13.100000000000001,,,86.9,,,,ü
J,J1,3,1,4,1.72,2.055,0.3350000000000002,8.375000000000005,8.350000000000003,0.06614378277661738,91.625,91.64999999999999,0.06614378277661369,ü,
,J2,3,1,4,1.098,1.429,0.33099999999999996,8.274999999999999,,,91.725,,,ü,
,J3,3,1,4,1.652,1.988,0.3360000000000001,8.400000000000002,,,91.6,,,ü,
K,K1,3,2,5,2.053,2.238,0.18500000000000005,3.700000000000001,3.680000000000002,0.0916515138991135,96.3,96.32,0.09165151389911252,ü,
,K2,3,2,5,2.066,2.245,0.17900000000000027,3.5800000000000054,,,96.41999999999999,,,ü,
,K3,3,2,5,1.248,1.436,0.18799999999999994,3.759999999999999,,,96.24,,,ü,
L,L1,3,3,6,1.773,1.907,0.13400000000000012,2.2333333333333356,2.2611111111111115,0.04811252243246531,97.76666666666667,97.7388888888889,0.04811252243246608,ü,
,L2,3,3,6,1.238,1.372,0.13400000000000012,2.2333333333333356,,,97.76666666666667,,,ü,
,L3,3,3,6,1.895,2.034,0.1389999999999998,2.316666666666663,,,97.68333333333334,,,ü,
