Response,Group_By,Group_Levels,N,Mean,SD,SE,Min,Max
Kelarutan,CMC x PVA x Plasticizer,1.0_2.0_Gliserol,3,95.1111111111111,0.0838870492808025,0.0484322104837947,95.03333333333332,95.2
Kelarutan,CMC x PVA x Plasticizer,1.0_2.0_Sorbitol,3,97.24444444444444,0.0838870492807832,0.0484322104837836,97.16666666666666,97.33333333333331
Kelarutan,CMC x PVA x Plasticizer,1.0_3.0_Gliserol,3,97.75833333333333,0.0721687836487011,0.0416666666666654,97.675,97.8
Kelarutan,CMC x PVA x Plasticizer,1.0_3.0_Sorbitol,3,97.025,0.0250000000000021,0.0144337567297418,97.0,97.05
Kelarutan,CMC x PVA x Plasticizer,2.0_0.0_Gliserol,3,95.43333333333334,0.1040832999733044,0.0600925212577318,95.35,95.55
Kelarutan,CMC x PVA x Plasticizer,2.0_0.0_Sorbitol,3,90.95,0.2291287847477921,0.1322875655532296,90.75,91.2
Kelarutan,CMC x PVA x Plasticizer,2.0_1.0_Gliserol,3,90.08888888888887,0.1347150628109032,0.0777777777777723,89.96666666666667,90.23333333333332
Kelarutan,CMC x PVA x Plasticizer,2.0_1.0_Sorbitol,3,91.1,0.0577350269189541,0.0333333333333284,91.06666666666666,91.16666666666666
Kelarutan,CMC x PVA x Plasticizer,2.0_2.0_Gliserol,3,94.53333333333336,0.0288675134594817,0.0166666666666669,94.5,94.55
Kelarutan,CMC x PVA x Plasticizer,2.0_2.0_Sorbitol,3,96.25,0.0901387818866034,0.0520416499866554,96.175,96.35
Kelarutan,CMC x PVA x Plasticizer,2.0_3.0_Gliserol,3,97.66666666666669,0.0503322295684708,0.0290593262902706,97.62,97.72
Kelarutan,CMC x PVA x Plasticizer,2.0_3.0_Sorbitol,3,97.14,0.0400000000000062,0.0230940107675886,97.1,97.18
Kelarutan,CMC x PVA x Plasticizer,3.0_0.0_Gliserol,3,86.81111111111112,0.0769800358919477,0.0444444444444431,86.76666666666667,86.9
Kelarutan,CMC x PVA x Plasticizer,3.0_0.0_Sorbitol,3,86.23333333333333,0.0333333333333367,0.0192450089729895,86.19999999999999,86.26666666666667
Kelarutan,CMC x PVA x Plasticizer,3.0_1.0_Gliserol,3,91.65,0.0661437827766123,0.0381881307912972,91.6,91.725
Kelarutan,CMC x PVA x Plasticizer,3.0_1.0_Sorbitol,3,90.08333333333331,0.0577350269189644,0.0333333333333344,90.05,90.15
Kelarutan,CMC x PVA x Plasticizer,3.0_2.0_Gliserol,3,96.32,0.0916515138991187,0.0529150262212929,96.24,96.42
Kelarutan,CMC x PVA x Plasticizer,3.0_2.0_Sorbitol,3,95.99333333333334,0.0230940107675783,0.0133333333333294,95.98,96.02
Kelarutan,CMC x PVA x Plasticizer,3.0_3.0_Gliserol,3,97.7388888888889,0.0481125224324722,0.0277777777777797,97.68333333333334,97.76666666666668
Kelarutan,CMC x PVA x Plasticizer,3.0_3.0_Sorbitol,3,96.58333333333331,0.1040832999733035,0.0600925212577313,96.5,96.7
Solubilitas,CMC,1,18,0.5648996252346924,0.0998080524425981,0.0235249835663945,0.3697478991596642,0.6886792452830196
Solubilitas,CMC,2,15,0.5162916760917563,0.1055864299181384,0.0272622989772297,0.3333333333333327,0.6529411764705899
Solubilitas,CMC,3,18,0.4638013852575104,0.126283293491261,0.0297652577260805,0.3157894736842111,0.6648936170212769
Solubilitas,PVA,1,15,0.6047960909862036,0.1075345322181946,0.0277652968282181,0.3933333333333327,0.6886792452830196
Solubilitas,PVA,2,18,0.5160428425773316,0.0861445439414638,0.0203044637277438,0.3383084577114428,0.6041666666666686
