Formulation,Replicate,CMC,PVA,Plasticizer,source_file,source_sheet,source_block,source_row,FTL,Standardized_Resid,Studentized_Resid,Leverage,Cooks_D,Flagged_Outlier
E,1.0,2.0,0.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,56,4.600000000000004,0.3131220942059847,0.3101601690594253,0.33333333333333254,0.0020426134558321086,False
E,2.0,2.0,0.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,57,4.649999999999999,0.7828052355146239,0.7796004002910701,0.33333333333333254,0.01276633409893966,False
E,3.0,2.0,0.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,58,4.449999999999998,-1.0959273297201413,-1.0982789575364817,0.33333333333333254,0.025022014833906564,False
F,1.0,2.0,1.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,59,9.933333333333326,0.20874806280416228,0.20665598434316515,0.333333333333333,0.0009078282025935503,False
F,2.0,2.0,1.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,60,10.033333333333331,1.148114345421591,1.1520202681511131,0.333333333333333,0.027461803128392637,False
F,3.0,2.0,1.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,61,9.766666666666664,-1.3568624082247687,-1.3691685013230876,0.333333333333333,0.03835574155944825,False
G,1.0,2.0,2.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,62,5.450000000000005,-0.15656104710265448,-0.15496119001234557,0.333333333333333,0.000510653363955824,False
G,2.0,2.0,2.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,63,5.499999999999994,0.3131220942059347,0.31016016905937566,0.333333333333333,0.00204261345583146,False
G,3.0,2.0,2.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,64,5.449999999999999,-0.15656104710270455,-0.15496119001239514,0.333333333333333,0.0005106533639561507,False
H,1.0,2.0,3.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,65,2.34,0.06262441884151901,0.06197117940885785,0.3333333333333331,8.170453823412493e-05,False
H,2.0,2.0,3.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,66,2.2799999999999976,-0.5009953507289315,-0.4970504457530367,0.3333333333333331,0.005229090446916767,False
H,3.0,2.0,3.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,67,2.38,0.43837093188847215,0.43465147488916295,0.3333333333333331,0.004003522373432652,False
I,1.0,3.0,0.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,68,13.233333333333327,0.4174961256078739,0.41387645883588536,0.3333333333333326,0.003631312810366355,False
I,2.0,3.0,0.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,69,13.233333333333333,0.41749612560792393,0.41387645883593516,0.3333333333333326,0.0036313128103672254,False
I,3.0,3.0,0.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,70,13.1,-0.8349922512152473,-0.8323155435305185,0.3333333333333326,0.014525251241448009,False
J,1.0,3.0,1.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,71,8.375000000000005,0.23484157065458244,0.2325160442295448,0.33333333333333304,0.0011489700689064825,False
J,2.0,3.0,1.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,72,8.274999999999999,-0.704524711962863,-0.7007799907136618,0.33333333333333304,0.010340730620132384,False
J,3.0,3.0,1.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,73,8.400000000000002,0.4696831413088979,0.4658365549848711,0.33333333333333304,0.004595880275620705,False
K,1.0,3.0,2.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,74,3.700000000000001,0.18787325652381864,0.18597433291705026,0.333333333333333,0.000735340844101344,False
K,2.0,3.0,2.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,75,3.5800000000000054,-0.939366282616999,-0.9381933659697057,0.333333333333333,0.01838352110245163,False
K,3.0,3.0,2.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,76,3.759999999999999,0.7514930260942274,0.7480372914828674,0.333333333333333,0.011765453505588715,False
L,1.0,3.0,3.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,77,2.2333333333333356,-0.26093507850470643,-0.2583860216602598,0.33333333333333304,0.0014184815665470253,False
L,2.0,3.0,3.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,78,2.2333333333333356,-0.26093507850470643,-0.2583860216602598,0.33333333333333304,0.0014184815665470253,False
L,3.0,3.0,3.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,79,2.316666666666663,0.5218701570097215,0.5178766844694442,0.33333333333333304,0.005673926266194812,False
